[MAIN] User Init Started...
[IMU] Starting Init...
[IMU] Init Complete
[HARDWARE] Starting FreeRTOS TCP-IP Stack
[HARDWARE] FreeRTOS TCP-IP Stack Init Complete
[MAIN] User Init Completed!
[MAIN] Starting 10ms task
prvIPTask started
[MAC] Starting Init...
[MAC] Got hardware revision 6
[MAC] Init Complete!
[HARDWARE] Network UP
[MAIN] Starting Server task
MALLOC 0x8001177 : 0x20003bf8 : 104 
MALLOC 0x8001177 : 0x20003cc8 : 120 
FREE 0x80010bf : 0x20003cc8 : 120 
MALLOC 0x8001177 : 0x20003cc8 : 104 
MALLOC 0x8001177 : 0x20003d30 : 120 
FREE 0x80010bf : 0x20003d30 : 120 
MALLOC 0x8001177 : 0x20003d30 : 120 
FREE 0x80010bf : 0x20003d30 : 120 
FREE 0x80010bf : 0x20003c60 : 104 
MALLOC 0x8001177 : 0x20003d30 : 112 
FREE 0x80010bf : 0x20003d30 : 112 
MALLOC 0x8001177 : 0x20003c60 : 96 
FREE 0x80010bf : 0x20003c60 : 104 
MALLOC 0x8001177 : 0x20003d30 : 120 
FREE 0x80010bf : 0x20003d30 : 120 
MALLOC 0x8001177 : 0x20003c60 : 96 
FREE 0x80010bf : 0x20003c60 : 104 
FREE 0x80010bf : 0x20003bf8 : 104 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003d30 : 136 
MALLOC 0x8001177 : 0x20003db8 : 120 
MALLOC 0x8001177 : 0x20003e30 : 1200 
FREE 0x80010bf : 0x20003e30 : 1200 
MALLOC 0x8001177 : 0x20003e30 : 136 
FREE 0x80010bf : 0x20003cc8 : 104 
MALLOC 0x8001177 : 0x20003c70 : 112 
FREE 0x80010bf : 0x20003c70 : 112 
FREE 0x80010bf : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003d30 : 136 
FREE 0x80010bf : 0x20003db8 : 120 
FREE 0x80010bf : 0x20003e30 : 136 
MALLOC 0x8001177 : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 104 
MALLOC 0x8001177 : 0x20003c60 : 120 
FREE 0x80010bf : 0x20003c60 : 120 
FREE 0x80010bf : 0x20003bf8 : 104 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8003955 : 0x20003c58 : 416 
MALLOC 0x8018781 : 0x20003df8 : 40 
Gain: Socket 5800 now has 1 / 128 child
prvSocketSetMSS: 1460 bytes for 0xa6f4c08ip:61566
MALLOC 0x8008f05 : 0x20003e20 : 2312 
Socket 5800 -> 0xa6f4c08ip:61566 State eCLOSED->eSYN_FIRST
prvWinScaleFactor: uxRxWinSize 1 MSS 1460 Factor 0
Socket 5800 -> 0xa6f4c08ip:61566 State eSYN_FIRST->eSYN_RECEIVED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20004728 : 104 
MALLOC 0x8001177 : 0x20004790 : 120 
FREE 0x80010bf : 0x20004790 : 120 
MALLOC 0x8001177 : 0x20004790 : 104 
MALLOC 0x8001177 : 0x200047f8 : 120 
FREE 0x80010bf : 0x200047f8 : 120 
FREE 0x80010bf : 0x20004728 : 104 
MALLOC 0x8001177 : 0x200047f8 : 112 
FREE 0x80010bf : 0x200047f8 : 112 
MALLOC 0x8001177 : 0x200047f8 : 120 
FREE 0x80010bf : 0x200047f8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200047f8 : 120 
FREE 0x80010bf : 0x200047f8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20004790 : 104 
MALLOC 0x8001177 : 0x20004728 : 112 
FREE 0x80010bf : 0x20004728 : 112 
MALLOC 0x8001177 : 0x20004728 : 104 
MALLOC 0x8001177 : 0x20004790 : 120 
FREE 0x80010bf : 0x20004790 : 120 
MALLOC 0x8001177 : 0x20004790 : 104 
MALLOC 0x8001177 : 0x200047f8 : 120 
FREE 0x80010bf : 0x200047f8 : 120 
FREE 0x80010bf : 0x20004728 : 104 
MALLOC 0x8001177 : 0x200047f8 : 112 
FREE 0x80010bf : 0x200047f8 : 112 
MALLOC 0x8001177 : 0x200047f8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
TCP: passive 5800 => 0xa6f4c08ip:61566 set ESTAB (scaling 1)
Socket 5800 -> 0xa6f4c08ip:61566 State eSYN_RECEIVED->eESTABLISHED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20004870 : 152 
FREE 0x80010bf : 0x20004790 : 104 
MALLOC 0x8001177 : 0x20004728 : 112 
FREE 0x80010bf : 0x20004728 : 112 
MALLOC 0x8001177 : 0x20004728 : 176 
MALLOC 0x8005471 : 0x20004908 : 136 
FREE 0x80010bf : 0x20004728 : 176 
MALLOC 0x800ebb5 : 0x20004990 : 264 
FREE 0x80010bf : 0x200047f8 : 120 
MALLOC 0x8001177 : 0x20004728 : 120 
MALLOC 0x8001177 : 0x200047a0 : 136 
MALLOC 0x8001177 : 0x20004a98 : 1200 
FREE 0x80010bf : 0x20004a98 : 1200 
MALLOC 0x8001177 : 0x20004a98 : 184 
FREE 0x80010bf : 0x20004a98 : 184 
MALLOC 0x800ebb5 : 0x20004a98 : 520 
FREE 0x80103b9 : 0x20004990 : 264 
FREE 0x80010bf : 0x20004728 : 120 
MALLOC 0x8001177 : 0x20004990 : 184 
FREE 0x80010bf : 0x20004990 : 184 
FREE 0x80010bf : 0x200047a0 : 136 
MALLOC 0x8001177 : 0x20004728 : 120 
FREE 0x80010bf : 0x20004728 : 120 
MALLOC 0x8001177 : 0x20004728 : 120 
FREE 0x80010bf : 0x20004728 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20004728 : 160 
FREE 0x80010bf : 0x20004728 : 160 
MALLOC 0x800ebb5 : 0x20004ca0 : 776 
FREE 0x80103b9 : 0x20004a98 : 520 
MALLOC 0x800ebb5 : 0x20004728 : 264 
MALLOC 0x800ebb5 : 0x20004990 : 776 
FREE 0x80103b9 : 0x20004728 : 264 
MALLOC 0x8005471 : 0x20004fa8 : 1496 
MALLOC 0x8001177 : 0x20005580 : 784 
FREE 0x80010bf : 0x20005580 : 784 
FREE 0x801034d : 0x20004990 : 784 
MALLOC 0x8001177 : 0x20004728 : 120 
FREE 0x80010bf : 0x20004728 : 120 
MALLOC 0x8001177 : 0x20004728 : 184 
FREE 0x80010bf : 0x20004728 : 184 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8003955 : 0x20004990 : 416 
MALLOC 0x8018781 : 0x20004728 : 40 
Gain: Socket 5800 now has 2 / 128 children
prvSocketSetMSS: 1460 bytes for 0xa6f4c08ip:61567
Socket 5800 -> 0xa6f4c08ip:61567 State eCLOSED->eSYN_FIRST
prvWinScaleFactor: uxRxWinSize 1 MSS 1460 Factor 0
Socket 5800 -> 0xa6f4c08ip:61567 State eSYN_FIRST->eSYN_RECEIVED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8003955 : 0x20005580 : 416 
MALLOC 0x8018781 : 0x20004750 : 40 
Gain: Socket 5800 now has 3 / 128 children
prvSocketSetMSS: 1460 bytes for 0xa6f4c08ip:61568
Socket 5800 -> 0xa6f4c08ip:61568 State eCLOSED->eSYN_FIRST
prvWinScaleFactor: uxRxWinSize 1 MSS 1460 Factor 0
Socket 5800 -> 0xa6f4c08ip:61568 State eSYN_FIRST->eSYN_RECEIVED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8003955 : 0x20005720 : 416 
MALLOC 0x8018781 : 0x20004778 : 40 
Gain: Socket 5800 now has 4 / 128 children
prvSocketSetMSS: 1460 bytes for 0xa6f4c08ip:61569
Socket 5800 -> 0xa6f4c08ip:61569 State eCLOSED->eSYN_FIRST
prvWinScaleFactor: uxRxWinSize 1 MSS 1460 Factor 0
Socket 5800 -> 0xa6f4c08ip:61569 State eSYN_FIRST->eSYN_RECEIVED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8003955 : 0x200058c0 : 416 
MALLOC 0x8018781 : 0x200047a0 : 40 
Gain: Socket 5800 now has 5 / 128 children
prvSocketSetMSS: 1460 bytes for 0xa6f4c08ip:61570
Socket 5800 -> 0xa6f4c08ip:61570 State eCLOSED->eSYN_FIRST
prvWinScaleFactor: uxRxWinSize 1 MSS 1460 Factor 0
Socket 5800 -> 0xa6f4c08ip:61570 State eSYN_FIRST->eSYN_RECEIVED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8003955 : 0x20005a60 : 416 
MALLOC 0x8018781 : 0x200047c8 : 40 
Gain: Socket 5800 now has 6 / 128 children
prvSocketSetMSS: 1460 bytes for 0xa6f4c08ip:61571
Socket 5800 -> 0xa6f4c08ip:61571 State eCLOSED->eSYN_FIRST
prvWinScaleFactor: uxRxWinSize 1 MSS 1460 Factor 0
Socket 5800 -> 0xa6f4c08ip:61571 State eSYN_FIRST->eSYN_RECEIVED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20004b30 : 184 
FREE 0x80010bf : 0x20004b30 : 184 
MALLOC 0x8001177 : 0x20003bf8 : 96 
TCP: passive 5800 => 0xa6f4c08ip:61567 set ESTAB (scaling 1)
Socket 5800 -> 0xa6f4c08ip:61567 State eSYN_RECEIVED->eESTABLISHED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20004b30 : 152 
MALLOC 0x8001177 : 0x20004bc8 : 176 
MALLOC 0x8005471 : 0x20005c00 : 136 
FREE 0x80010bf : 0x20004bc8 : 176 
MALLOC 0x800ebb5 : 0x20005c88 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
TCP: passive 5800 => 0xa6f4c08ip:61568 set ESTAB (scaling 1)
Socket 5800 -> 0xa6f4c08ip:61568 State eSYN_RECEIVED->eESTABLISHED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20004bc8 : 152 
MALLOC 0x8001177 : 0x20005d90 : 176 
MALLOC 0x8005471 : 0x20005e40 : 136 
FREE 0x80010bf : 0x20005d90 : 176 
MALLOC 0x800ebb5 : 0x20005ec8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
TCP: passive 5800 => 0xa6f4c08ip:61569 set ESTAB (scaling 1)
Socket 5800 -> 0xa6f4c08ip:61569 State eSYN_RECEIVED->eESTABLISHED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20005d90 : 152 
MALLOC 0x8001177 : 0x20005fd0 : 176 
MALLOC 0x8005471 : 0x20006080 : 136 
FREE 0x80010bf : 0x20005fd0 : 176 
MALLOC 0x800ebb5 : 0x20006108 : 264 
MALLOC 0x8001177 : 0x200047f0 : 120 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x20003bf8 : 96 
TCP: passive 5800 => 0xa6f4c08ip:61570 set ESTAB (scaling 1)
Socket 5800 -> 0xa6f4c08ip:61570 State eSYN_RECEIVED->eESTABLISHED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20005fd0 : 152 
MALLOC 0x8001177 : 0x20006210 : 176 
MALLOC 0x8005471 : 0x200062c0 : 136 
FREE 0x80010bf : 0x20006210 : 176 
MALLOC 0x800ebb5 : 0x20006348 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
TCP: passive 5800 => 0xa6f4c08ip:61571 set ESTAB (scaling 1)
Socket 5800 -> 0xa6f4c08ip:61571 State eSYN_RECEIVED->eESTABLISHED
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x20006210 : 152 
MALLOC 0x8001177 : 0x20006450 : 176 
MALLOC 0x8005471 : 0x20006500 : 136 
FREE 0x80010bf : 0x20006450 : 176 
MALLOC 0x800ebb5 : 0x20006588 : 264 
MALLOC 0x8001177 : 0x20006690 : 184 
FREE 0x80010bf : 0x20006690 : 184 
MALLOC 0x8001177 : 0x20006690 : 184 
FREE 0x80010bf : 0x20006690 : 184 
MALLOC 0x800ebb5 : 0x20006690 : 520 
FREE 0x80103b9 : 0x20005c88 : 264 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x800ebb5 : 0x20006898 : 520 
FREE 0x80103b9 : 0x20005ec8 : 264 
MALLOC 0x8001177 : 0x20005c88 : 184 
FREE 0x80010bf : 0x20005c88 : 184 
MALLOC 0x800ebb5 : 0x20006aa0 : 520 
FREE 0x80103b9 : 0x20006108 : 264 
MALLOC 0x8001177 : 0x200047f0 : 104 
MALLOC 0x8001177 : 0x20005c88 : 120 
FREE 0x80010bf : 0x20005c88 : 120 
MALLOC 0x8001177 : 0x20005c88 : 104 
MALLOC 0x8001177 : 0x20005cf0 : 120 
FREE 0x80010bf : 0x20005cf0 : 120 
MALLOC 0x8001177 : 0x20005ec8 : 184 
FREE 0x80010bf : 0x20005ec8 : 184 
MALLOC 0x800ebb5 : 0x20006ca8 : 520 
FREE 0x80103b9 : 0x20006348 : 264 
FREE 0x80010bf : 0x200047f0 : 104 
MALLOC 0x8001177 : 0x200047f0 : 112 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x20005ec8 : 184 
