[MAIN] User Init Started...
[IMU] Starting Init...
[IMU] Init Complete
[HARDWARE] Starting FreeRTOS TCP-IP Stack
[HARDWARE] FreeRTOS TCP-IP Stack Init Complete
[MAIN] User Init Completed!
[MAIN] Starting 10ms task
prvIPTask started
[MAC] Starting Init...
[MAC] Got hardware revision 6
[MAC] Init Complete!
[HARDWARE] Network UP
[MAIN] Starting Server task
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 152 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 152 
MALLOC 0x800ebb5 : 0x200099d8 : 776 
FREE 0x80103b9 : 0x20007f70 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 240 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 240 
MALLOC 0x8001177 : 0x20007f70 : 672 
FREE 0x80010bf : 0x20007f70 : 672 
FREE 0x801034d : 0x200099d8 : 776 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 160 
MALLOC 0x8001177 : 0x20008600 : 560 
FREE 0x80010bf : 0x20008600 : 560 
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 160 
MALLOC 0x800ebb5 : 0x200099d8 : 776 
FREE 0x80103b9 : 0x20007f70 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20006348 : 320 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20006348 : 320 
MALLOC 0x8001177 : 0x20007f70 : 592 
FREE 0x80010bf : 0x20007f70 : 592 
FREE 0x801034d : 0x200099d8 : 776 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 232 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 232 
MALLOC 0x8001177 : 0x20008600 : 480 
FREE 0x80010bf : 0x20008600 : 480 
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 160 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20006348 : 400 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20006348 : 400 
MALLOC 0x8001177 : 0x20008600 : 512 
FREE 0x80010bf : 0x20008600 : 512 
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 160 
MALLOC 0x8001177 : 0x20008600 : 552 
FREE 0x80010bf : 0x20008600 : 552 
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 160 
MALLOC 0x8001177 : 0x20003bf8 : 96 
Socket 5800 -> 0xa6f4c08ip:61573 State eESTABLISHED->eLAST_ACK
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20008600 : 472 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20008600 : 472 
MALLOC 0x8001177 : 0x20006348 : 432 
FREE 0x80010bf : 0x20006348 : 440 
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057b8 : 152 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057b8 : 152 
MALLOC 0x8001177 : 0x20008600 : 560 
FREE 0x80010bf : 0x20008600 : 560 
FREE 0x801034d : 0x20007f70 : 520 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
MALLOC 0x800ebb5 : 0x20007f70 : 520 
FREE 0x80103b9 : 0x200057b8 : 264 
MALLOC 0x8001177 : 0x200099d8 : 1200 
FREE 0x80010bf : 0x200099d8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
Socket 5800 -> 0xa6f4c08ip:61573 State eLAST_ACK->eCLOSE_WAIT
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x800ebb5 : 0x200057b8 : 264 
Lost: Socket 5800 now has 6 / 128 children
FREE 0x8018b29 : 0x20004c60 : 40 
FreeRTOS_closesocket[5800 to 0xa6f4c08ip:61573]: buffers 60 socks 7
FREE 0x800439b : 0x20006eb0 : 416 
FREE 0x801034d : 0x200057b8 : 264 
FREE 0x80129c5 : 0x20005720 : 152 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 152 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 152 
MALLOC 0x800ebb5 : 0x200099d8 : 776 
FREE 0x80103b9 : 0x20007f70 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 752 
FREE 0x80010bf : 0x20007f70 : 752 
FREE 0x801034d : 0x200099d8 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 152 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 152 
MALLOC 0x8001177 : 0x20007f70 : 560 
FREE 0x80010bf : 0x20007f70 : 560 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 240 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 240 
MALLOC 0x8001177 : 0x200099d8 : 680 
FREE 0x80010bf : 0x200099d8 : 680 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 312 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 312 
MALLOC 0x8001177 : 0x200099d8 : 600 
FREE 0x80010bf : 0x200099d8 : 600 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x200099d8 : 752 
FREE 0x80010bf : 0x200099d8 : 752 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 560 
FREE 0x80010bf : 0x20007f70 : 560 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x200099d8 : 1200 
FREE 0x80010bf : 0x200099d8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 152 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 152 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 232 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 232 
MALLOC 0x8001177 : 0x200099d8 : 680 
FREE 0x80010bf : 0x200099d8 : 680 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 152 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 152 
MALLOC 0x8001177 : 0x20007f70 : 560 
FREE 0x80010bf : 0x20007f70 : 560 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 312 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 312 
MALLOC 0x8001177 : 0x200099d8 : 600 
FREE 0x80010bf : 0x200099d8 : 600 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 232 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 232 
MALLOC 0x8001177 : 0x20007f70 : 480 
FREE 0x80010bf : 0x20007f70 : 480 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 384 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 384 
MALLOC 0x8001177 : 0x20007f70 : 520 
FREE 0x80010bf : 0x20007f70 : 520 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20007f70 : 472 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20007f70 : 472 
MALLOC 0x8001177 : 0x20006348 : 440 
FREE 0x80010bf : 0x20006348 : 440 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 560 
FREE 0x80010bf : 0x20007f70 : 560 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x200099d8 : 752 
FREE 0x80010bf : 0x200099d8 : 752 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200099d8 : 1200 
FREE 0x80010bf : 0x200099d8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 232 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 232 
MALLOC 0x8001177 : 0x200099d8 : 672 
FREE 0x80010bf : 0x200099d8 : 672 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x200047f0 : 120 
MALLOC 0x8001177 : 0x20005720 : 136 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x200057a8 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x200057a8 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
FREE 0x80010bf : 0x200047f0 : 128 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20006348 : 320 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20006348 : 320 
MALLOC 0x8001177 : 0x20008600 : 592 
FREE 0x80010bf : 0x20008600 : 592 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x200057a8 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x200057a8 : 280 
FREE 0x80010bf : 0x20005720 : 136 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x200099d8 : 752 
FREE 0x80010bf : 0x200099d8 : 752 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 240 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 240 
MALLOC 0x8001177 : 0x200099d8 : 672 
FREE 0x80010bf : 0x200099d8 : 672 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 560 
FREE 0x80010bf : 0x20007f70 : 560 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x200099d8 : 1200 
FREE 0x80010bf : 0x200099d8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x200099d8 : 752 
FREE 0x80010bf : 0x200099d8 : 752 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 560 
FREE 0x80010bf : 0x20007f70 : 560 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 232 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 232 
MALLOC 0x8001177 : 0x200099d8 : 680 
FREE 0x80010bf : 0x200099d8 : 680 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x8001177 : 0x20007f70 : 552 
FREE 0x80010bf : 0x20007f70 : 552 
FREE 0x801034d : 0x20006eb0 : 520 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
FREE 0x80103b9 : 0x20005720 : 264 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 160 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 160 
MALLOC 0x800ebb5 : 0x20007f70 : 776 
FREE 0x80103b9 : 0x20006eb0 : 520 
MALLOC 0x8001177 : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20005720 : 312 
FREE 0x80010bf : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20005720 : 312 
MALLOC 0x8001177 : 0x200099d8 : 600 
FREE 0x80010bf : 0x200099d8 : 600 
FREE 0x801034d : 0x20007f70 : 776 
MALLOC 0x800ebb5 : 0x20005720 : 264 
MALLOC 0x800ebb5 : 0x20006eb0 : 520 
